id_sektor;nama_sektor
1;Asuransi
2;Automotif
3;Broadcasting
4;Elektronik
5;Farmasi & Bioteknologi
6;Gas, Air, & Kebutuhan Pokok
7;Jasa Finansial
8;Kimia
9;Konstruksi & Material Bangunan
10;Listrik
11;Makanan
12;Manajemen Properti
13;Media
14;Minuman
15;Parawisata
16;Pendidikan
17;Peralatan & Layanan Kesehatan
18;Perbankan
19;Percetakan
20;Perminyakan
21;Pertambangan
22;Real Estate
23;Software & Komputer
24;Teknologi Hardware
25;Tekstil
26;Telekomunikasi
27;Tembakau
28;Transportasi
29;Pertanian
30;Manufaktur
;
;
;
;
;
;
;
;
;
;
;
